case,vmaf_score
town_3_c1_qp5.mp4,97.19006150148809
town_3_c1_qp10.mp4,96.79034710267857
town_3_c1_qp15.mp4,95.71218367113096
town_3_c1_qp20.mp4,93.18035945386904
town_3_c1_qp25.mp4,88.62240428273809
town_3_c1_qp30.mp4,80.37353386607143
town_3_c1_qp35.mp4,67.38522997172619
town_3_c1_qp40.mp4,48.8553512202381
town_3_c1_qp45.mp4,25.909804818452383
town_3_c1_qp50.mp4,3.7342048303571427
town_3_c2_qp5.mp4,97.18278874542125
town_3_c2_qp10.mp4,96.76327463736264
town_3_c2_qp15.mp4,95.73851874908425
town_3_c2_qp20.mp4,93.38336002380953
town_3_c2_qp25.mp4,89.32120931868131
town_3_c2_qp30.mp4,81.76167351282051
town_3_c2_qp35.mp4,69.61477374358974
town_3_c2_qp40.mp4,51.401228569597066
town_3_c2_qp45.mp4,27.46163852930403
town_3_c2_qp50.mp4,4.337170221611721
town_3_c3_qp5.mp4,97.18909288273616
town_3_c3_qp10.mp4,96.8114527703583
town_3_c3_qp15.mp4,95.84515072312703
town_3_c3_qp20.mp4,93.80231525570032
town_3_c3_qp25.mp4,90.33441174592834
town_3_c3_qp30.mp4,83.73298965309446
town_3_c3_qp35.mp4,72.40587174267101
town_3_c3_qp40.mp4,55.977641672638434
town_3_c3_qp45.mp4,33.09123696091205
town_3_c3_qp50.mp4,6.756818568403909
town_3_c4_qp5.mp4,97.17432954892206
town_3_c4_qp10.mp4,96.78955589220564
town_3_c4_qp15.mp4,95.79597506301825
town_3_c4_qp20.mp4,93.60920528026534
town_3_c4_qp25.mp4,89.7153307495854
town_3_c4_qp30.mp4,82.63292851409619
town_3_c4_qp35.mp4,70.23924350580431
town_3_c4_qp40.mp4,53.032250718076284
town_3_c4_qp45.mp4,29.764479479270314
town_3_c4_qp50.mp4,6.319690069651742
town_3_c5_qp5.mp4,97.21631895833333
town_3_c5_qp10.mp4,96.75331439583333
town_3_c5_qp15.mp4,95.55989158630952
town_3_c5_qp20.mp4,92.92239719047619
town_3_c5_qp25.mp4,88.19756949851191
town_3_c5_qp30.mp4,80.08031774107143
town_3_c5_qp35.mp4,67.3551398422619
town_3_c5_qp40.mp4,49.21540840922619
town_3_c5_qp45.mp4,27.54239421875
town_3_c5_qp50.mp4,7.284545555059524
town_2_c1_qp5.mp4,61.74598508320951
town_2_c1_qp10.mp4,61.775434766716195
town_2_c1_qp15.mp4,61.736582066864784
town_2_c1_qp20.mp4,61.51923809509658
town_2_c1_qp25.mp4,60.22933930014859
town_2_c1_qp30.mp4,56.96061218424963
town_2_c1_qp35.mp4,49.748378294205054
town_2_c1_qp40.mp4,36.948385933135214
town_2_c1_qp45.mp4,18.95822345022288
town_2_c1_qp50.mp4,2.071029086181278
town_2_c2_qp5.mp4,68.97645722123893
town_2_c2_qp10.mp4,68.96350122418879
town_2_c2_qp15.mp4,68.89793817109144
town_2_c2_qp20.mp4,68.59882533038348
town_2_c2_qp25.mp4,67.11860267551623
town_2_c2_qp30.mp4,63.432760946902654
town_2_c2_qp35.mp4,55.749003438053094
town_2_c2_qp40.mp4,42.77949215929203
town_2_c2_qp45.mp4,24.302516479351034
town_2_c2_qp50.mp4,3.5189817463126842
town_2_c3_qp5.mp4,72.28754668130081
town_2_c3_qp10.mp4,72.26398589268292
town_2_c3_qp15.mp4,72.17816654146341
town_2_c3_qp20.mp4,71.82740280325203
town_2_c3_qp25.mp4,70.26628027154472
town_2_c3_qp30.mp4,66.65628342764228
town_2_c3_qp35.mp4,59.34968887642277
town_2_c3_qp40.mp4,47.20146823252033
town_2_c3_qp45.mp4,28.339921536585365
town_2_c3_qp50.mp4,6.5438156211382115
town_2_c4_qp5.mp4,54.9398498028169
town_2_c4_qp10.mp4,54.918411092331766
town_2_c4_qp15.mp4,54.86457862910798
town_2_c4_qp20.mp4,54.72149871830986
town_2_c4_qp25.mp4,53.90546
town_2_c4_qp30.mp4,51.6894446541471
town_2_c4_qp35.mp4,45.80510806729264
town_2_c4_qp40.mp4,35.28327400312989
town_2_c4_qp45.mp4,19.12704441940532
town_2_c4_qp50.mp4,1.0360445978090767
town_2_c5_qp5.mp4,62.68289230987654
town_2_c5_qp10.mp4,62.65106762469136
town_2_c5_qp15.mp4,62.568230924691356
town_2_c5_qp20.mp4,62.22863754691358
town_2_c5_qp25.mp4,60.841345914814816
town_2_c5_qp30.mp4,57.372298269135804
town_2_c5_qp35.mp4,50.753559530864194
town_2_c5_qp40.mp4,39.451380433333334
town_2_c5_qp45.mp4,23.468022291358025
town_2_c5_qp50.mp4,5.533629208641975
town_1_c1_qp5.mp4,21.45036286800574
town_1_c1_qp10.mp4,21.44188086800574
town_1_c1_qp15.mp4,21.390602022955523
